,Date,sulfate,nitrate,ID
0,2001-01-01,,,96
1,2001-01-02,,,96
2,2001-01-03,,,96
3,2001-01-04,,,96
4,2001-01-05,,,96
5,2001-01-06,,,96
6,2001-01-07,,,96
7,2001-01-08,,,96
8,2001-01-09,,,96
9,2001-01-10,,,96
10,2001-01-11,,,96
11,2001-01-12,,,96
12,2001-01-13,,,96
13,2001-01-14,,,96
14,2001-01-15,,,96
15,2001-01-16,,,96
16,2001-01-17,,,96
17,2001-01-18,,,96
18,2001-01-19,,,96
19,2001-01-20,,,96
20,2001-01-21,,,96
21,2001-01-22,,,96
22,2001-01-23,,,96
23,2001-01-24,,,96
24,2001-01-25,,,96
25,2001-01-26,,,96
26,2001-01-27,,,96
27,2001-01-28,,,96
28,2001-01-29,,,96
29,2001-01-30,,,96
30,2001-01-31,,,96
31,2001-02-01,,,96
32,2001-02-02,,,96
33,2001-02-03,,,96
34,2001-02-04,,,96
35,2001-02-05,,,96
36,2001-02-06,,,96
37,2001-02-07,,,96
38,2001-02-08,,,96
39,2001-02-09,,,96
40,2001-02-10,,,96
41,2001-02-11,,,96
42,2001-02-12,,,96
43,2001-02-13,,,96
44,2001-02-14,,,96
45,2001-02-15,,,96
46,2001-02-16,,,96
47,2001-02-17,,,96
48,2001-02-18,,,96
49,2001-02-19,,,96
50,2001-02-20,,,96
51,2001-02-21,,,96
52,2001-02-22,,,96
53,2001-02-23,,,96
54,2001-02-24,3.58,6.76,96
55,2001-02-25,,,96
56,2001-02-26,,,96
57,2001-02-27,,,96
58,2001-02-28,,,96
59,2001-03-01,,,96
60,2001-03-02,3.65,16.8,96
61,2001-03-03,,,96
62,2001-03-04,,,96
63,2001-03-05,,,96
64,2001-03-06,,,96
65,2001-03-07,,,96
66,2001-03-08,4.17,4.32,96
67,2001-03-09,,,96
68,2001-03-10,,,96
69,2001-03-11,,,96
70,2001-03-12,,,96
71,2001-03-13,,,96
72,2001-03-14,1.91,4.43,96
73,2001-03-15,,,96
74,2001-03-16,,,96
75,2001-03-17,,,96
76,2001-03-18,,,96
77,2001-03-19,,,96
78,2001-03-20,1.78,7.55,96
79,2001-03-21,,,96
80,2001-03-22,,,96
81,2001-03-23,5.13,13.9,96
82,2001-03-24,,,96
83,2001-03-25,,,96
84,2001-03-26,1.22,1.98,96
85,2001-03-27,,,96
86,2001-03-28,,,96
87,2001-03-29,6.21,10.3,96
88,2001-03-30,,,96
89,2001-03-31,,,96
90,2001-04-01,0.0567,0.0739,96
91,2001-04-02,,,96
92,2001-04-03,,,96
93,2001-04-04,8.34,7.35,96
94,2001-04-05,,,96
95,2001-04-06,,,96
96,2001-04-07,2.25,0.524,96
