,Date,sulfate,nitrate,ID
0,2001-01-01,,,170
1,2001-01-02,,,170
2,2001-01-03,,,170
3,2001-01-04,,,170
4,2001-01-05,,,170
5,2001-01-06,,,170
6,2001-01-07,,,170
7,2001-01-08,,,170
8,2001-01-09,,,170
9,2001-01-10,,,170
10,2001-01-11,,,170
11,2001-01-12,,,170
12,2001-01-13,,,170
13,2001-01-14,,,170
14,2001-01-15,,,170
15,2001-01-16,,,170
16,2001-01-17,,,170
17,2001-01-18,,,170
18,2001-01-19,,,170
19,2001-01-20,,,170
20,2001-01-21,,,170
21,2001-01-22,,,170
22,2001-01-23,,,170
23,2001-01-24,,,170
24,2001-01-25,,,170
25,2001-01-26,,,170
26,2001-01-27,,,170
27,2001-01-28,,,170
28,2001-01-29,,,170
29,2001-01-30,,,170
30,2001-01-31,,,170
31,2001-02-01,,,170
32,2001-02-02,,,170
33,2001-02-03,,,170
34,2001-02-04,,,170
35,2001-02-05,,,170
36,2001-02-06,5.55,3.62,170
37,2001-02-07,,,170
38,2001-02-08,,,170
39,2001-02-09,,,170
40,2001-02-10,,,170
41,2001-02-11,,,170
42,2001-02-12,1.05,1.46,170
43,2001-02-13,,,170
44,2001-02-14,,,170
45,2001-02-15,,,170
46,2001-02-16,,,170
47,2001-02-17,,,170
48,2001-02-18,,,170
49,2001-02-19,,,170
50,2001-02-20,,,170
51,2001-02-21,,,170
52,2001-02-22,,,170
53,2001-02-23,,,170
54,2001-02-24,2.12,2.25,170
55,2001-02-25,,,170
56,2001-02-26,,,170
57,2001-02-27,,,170
58,2001-02-28,,,170
59,2001-03-01,,,170
60,2001-03-02,,,170
61,2001-03-03,,,170
62,2001-03-04,,,170
63,2001-03-05,,,170
64,2001-03-06,,,170
65,2001-03-07,,,170
66,2001-03-08,2.35,3.0,170
67,2001-03-09,,,170
68,2001-03-10,,,170
69,2001-03-11,,,170
70,2001-03-12,,,170
71,2001-03-13,,,170
72,2001-03-14,3.19,1.78,170
73,2001-03-15,,,170
74,2001-03-16,,,170
75,2001-03-17,5.87,5.61,170
76,2001-03-18,,,170
77,2001-03-19,,,170
78,2001-03-20,1.67,1.92,170
79,2001-03-21,,,170
80,2001-03-22,,,170
81,2001-03-23,,,170
82,2001-03-24,,,170
83,2001-03-25,,,170
84,2001-03-26,3.67,2.03,170
85,2001-03-27,,,170
86,2001-03-28,,,170
87,2001-03-29,4.83,6.42,170
88,2001-03-30,,,170
89,2001-03-31,,,170
90,2001-04-01,4.04,1.56,170
91,2001-04-02,,,170
92,2001-04-03,,,170
93,2001-04-04,2.76,1.27,170
94,2001-04-05,,,170
95,2001-04-06,,,170
96,2001-04-07,5.44,5.76,170
97,2001-04-08,,,170
98,2001-04-09,,,170
99,2001-04-10,2.02,0.798,170
100,2001-04-11,,,170
101,2001-04-12,,,170
102,2001-04-13,,,170
103,2001-04-14,,,170
104,2001-04-15,,,170
105,2001-04-16,,,170
106,2001-04-17,,,170
107,2001-04-18,,,170
108,2001-04-19,2.46,1.52,170
109,2001-04-20,,,170
110,2001-04-21,,,170
111,2001-04-22,8.39,2.07,170
112,2001-04-23,,,170
